generated_at,market,symbol,adapter_status,observation_status,market_rule_status,timezone,trading_unit,settlement_rule,exchange_hint,data_source_expected,ibkr_contract_expected,local_market_symbol,enabled_for_observation,enabled_for_trading,real_market_data_request_allowed,contract_qualification_allowed,account_read_allowed,position_read_allowed,historical_data_request_allowed,trading_actions_allowed,order_action_allowed,cancel_action_allowed,rebalance_action_allowed,telegram_real_send_allowed,manual_only,research_only,observation_only,diagnostic_reason
2026-05-25T09:35:42+00:00,JP,1540.T,ADAPTER_SKELETON_STATIC_READY,OBSERVATION_ONLY,STATIC_RULE_SUMMARY_READY,JST,100_share_round_lot,TSE_close_15:30_JST;closing_auction_15:25-15:30_JST,TSE,static_universe_adapter_skeleton_only,true,true,true,false,false,false,false,false,false,false,false,false,false,false,true,true,true,multi_market_adapter_skeleton_static_only;enabled_for_trading=false;real_market_data_request_allowed=false;contract_qualification_allowed=false;account_read_allowed=false;position_read_allowed=false;historical_data_request_allowed=false;telegram_real_send_allowed=false;no_buy_sell_points;observation_only=true;static_multi_market_symbol_universe_only;no_ibkr_contract_qualification;no_real_market_data;no_account_or_position_read;no_historical_data_request;no_telegram_real_send;JP rule: JST;100_share_round_lot;TSE_close_15:30;closing_auction_15:25-15:30
2026-05-25T09:35:42+00:00,JP,1542.T,ADAPTER_SKELETON_STATIC_READY,OBSERVATION_ONLY,STATIC_RULE_SUMMARY_READY,JST,100_share_round_lot,TSE_close_15:30_JST;closing_auction_15:25-15:30_JST,TSE,static_universe_adapter_skeleton_only,true,true,true,false,false,false,false,false,false,false,false,false,false,false,true,true,true,multi_market_adapter_skeleton_static_only;enabled_for_trading=false;real_market_data_request_allowed=false;contract_qualification_allowed=false;account_read_allowed=false;position_read_allowed=false;historical_data_request_allowed=false;telegram_real_send_allowed=false;no_buy_sell_points;observation_only=true;static_multi_market_symbol_universe_only;no_ibkr_contract_qualification;no_real_market_data;no_account_or_position_read;no_historical_data_request;no_telegram_real_send;JP rule: JST;100_share_round_lot;TSE_close_15:30;closing_auction_15:25-15:30
2026-05-25T09:35:42+00:00,JP,7203.T,ADAPTER_SKELETON_STATIC_READY,OBSERVATION_ONLY,STATIC_RULE_SUMMARY_READY,JST,100_share_round_lot,TSE_close_15:30_JST;closing_auction_15:25-15:30_JST,TSE,static_universe_adapter_skeleton_only,true,true,true,false,false,false,false,false,false,false,false,false,false,false,true,true,true,multi_market_adapter_skeleton_static_only;enabled_for_trading=false;real_market_data_request_allowed=false;contract_qualification_allowed=false;account_read_allowed=false;position_read_allowed=false;historical_data_request_allowed=false;telegram_real_send_allowed=false;no_buy_sell_points;observation_only=true;static_multi_market_symbol_universe_only;no_ibkr_contract_qualification;no_real_market_data;no_account_or_position_read;no_historical_data_request;no_telegram_real_send;JP rule: JST;100_share_round_lot;TSE_close_15:30;closing_auction_15:25-15:30
2026-05-25T09:35:42+00:00,JP,6758.T,ADAPTER_SKELETON_STATIC_READY,OBSERVATION_ONLY,STATIC_RULE_SUMMARY_READY,JST,100_share_round_lot,TSE_close_15:30_JST;closing_auction_15:25-15:30_JST,TSE,static_universe_adapter_skeleton_only,true,true,true,false,false,false,false,false,false,false,false,false,false,false,true,true,true,multi_market_adapter_skeleton_static_only;enabled_for_trading=false;real_market_data_request_allowed=false;contract_qualification_allowed=false;account_read_allowed=false;position_read_allowed=false;historical_data_request_allowed=false;telegram_real_send_allowed=false;no_buy_sell_points;observation_only=true;static_multi_market_symbol_universe_only;no_ibkr_contract_qualification;no_real_market_data;no_account_or_position_read;no_historical_data_request;no_telegram_real_send;JP rule: JST;100_share_round_lot;TSE_close_15:30;closing_auction_15:25-15:30
2026-05-25T09:35:42+00:00,JP,9432.T,ADAPTER_SKELETON_STATIC_READY,OBSERVATION_ONLY,STATIC_RULE_SUMMARY_READY,JST,100_share_round_lot,TSE_close_15:30_JST;closing_auction_15:25-15:30_JST,TSE,static_universe_adapter_skeleton_only,true,true,true,false,false,false,false,false,false,false,false,false,false,false,true,true,true,multi_market_adapter_skeleton_static_only;enabled_for_trading=false;real_market_data_request_allowed=false;contract_qualification_allowed=false;account_read_allowed=false;position_read_allowed=false;historical_data_request_allowed=false;telegram_real_send_allowed=false;no_buy_sell_points;observation_only=true;static_multi_market_symbol_universe_only;no_ibkr_contract_qualification;no_real_market_data;no_account_or_position_read;no_historical_data_request;no_telegram_real_send;JP rule: JST;100_share_round_lot;TSE_close_15:30;closing_auction_15:25-15:30
2026-05-25T09:35:42+00:00,JP,8035.T,ADAPTER_SKELETON_STATIC_READY,OBSERVATION_ONLY,STATIC_RULE_SUMMARY_READY,JST,100_share_round_lot,TSE_close_15:30_JST;closing_auction_15:25-15:30_JST,TSE,static_universe_adapter_skeleton_only,true,true,true,false,false,false,false,false,false,false,false,false,false,false,true,true,true,multi_market_adapter_skeleton_static_only;enabled_for_trading=false;real_market_data_request_allowed=false;contract_qualification_allowed=false;account_read_allowed=false;position_read_allowed=false;historical_data_request_allowed=false;telegram_real_send_allowed=false;no_buy_sell_points;observation_only=true;static_multi_market_symbol_universe_only;no_ibkr_contract_qualification;no_real_market_data;no_account_or_position_read;no_historical_data_request;no_telegram_real_send;JP rule: JST;100_share_round_lot;TSE_close_15:30;closing_auction_15:25-15:30
2026-05-25T09:35:42+00:00,US,GLD,ADAPTER_SKELETON_STATIC_READY,OBSERVATION_ONLY,STATIC_RULE_SUMMARY_READY,ET/JST,default_whole_share,IBKR_cash_account;settled_cash;T+1,NYSE/NASDAQ/ARCA,static_universe_adapter_skeleton_only,true,true,true,false,false,false,false,false,false,false,false,false,false,false,true,true,true,multi_market_adapter_skeleton_static_only;enabled_for_trading=false;real_market_data_request_allowed=false;contract_qualification_allowed=false;account_read_allowed=false;position_read_allowed=false;historical_data_request_allowed=false;telegram_real_send_allowed=false;no_buy_sell_points;observation_only=true;static_multi_market_symbol_universe_only;no_ibkr_contract_qualification;no_real_market_data;no_account_or_position_read;no_historical_data_request;no_telegram_real_send;US rule: ET/JST;IBKR_cash_account;settled_cash;default_whole_share;T+1
2026-05-25T09:35:42+00:00,US,SLV,ADAPTER_SKELETON_STATIC_READY,OBSERVATION_ONLY,STATIC_RULE_SUMMARY_READY,ET/JST,default_whole_share,IBKR_cash_account;settled_cash;T+1,NYSE/NASDAQ/ARCA,static_universe_adapter_skeleton_only,true,true,true,false,false,false,false,false,false,false,false,false,false,false,true,true,true,multi_market_adapter_skeleton_static_only;enabled_for_trading=false;real_market_data_request_allowed=false;contract_qualification_allowed=false;account_read_allowed=false;position_read_allowed=false;historical_data_request_allowed=false;telegram_real_send_allowed=false;no_buy_sell_points;observation_only=true;static_multi_market_symbol_universe_only;no_ibkr_contract_qualification;no_real_market_data;no_account_or_position_read;no_historical_data_request;no_telegram_real_send;US rule: ET/JST;IBKR_cash_account;settled_cash;default_whole_share;T+1
2026-05-25T09:35:42+00:00,US,AAPL,ADAPTER_SKELETON_STATIC_READY,OBSERVATION_ONLY,STATIC_RULE_SUMMARY_READY,ET/JST,default_whole_share,IBKR_cash_account;settled_cash;T+1,NYSE/NASDAQ/ARCA,static_universe_adapter_skeleton_only,true,true,true,false,false,false,false,false,false,false,false,false,false,false,true,true,true,multi_market_adapter_skeleton_static_only;enabled_for_trading=false;real_market_data_request_allowed=false;contract_qualification_allowed=false;account_read_allowed=false;position_read_allowed=false;historical_data_request_allowed=false;telegram_real_send_allowed=false;no_buy_sell_points;observation_only=true;static_multi_market_symbol_universe_only;no_ibkr_contract_qualification;no_real_market_data;no_account_or_position_read;no_historical_data_request;no_telegram_real_send;US rule: ET/JST;IBKR_cash_account;settled_cash;default_whole_share;T+1
2026-05-25T09:35:42+00:00,US,MSFT,ADAPTER_SKELETON_STATIC_READY,OBSERVATION_ONLY,STATIC_RULE_SUMMARY_READY,ET/JST,default_whole_share,IBKR_cash_account;settled_cash;T+1,NYSE/NASDAQ/ARCA,static_universe_adapter_skeleton_only,true,true,true,false,false,false,false,false,false,false,false,false,false,false,true,true,true,multi_market_adapter_skeleton_static_only;enabled_for_trading=false;real_market_data_request_allowed=false;contract_qualification_allowed=false;account_read_allowed=false;position_read_allowed=false;historical_data_request_allowed=false;telegram_real_send_allowed=false;no_buy_sell_points;observation_only=true;static_multi_market_symbol_universe_only;no_ibkr_contract_qualification;no_real_market_data;no_account_or_position_read;no_historical_data_request;no_telegram_real_send;US rule: ET/JST;IBKR_cash_account;settled_cash;default_whole_share;T+1
2026-05-25T09:35:42+00:00,US,NVDA,ADAPTER_SKELETON_STATIC_READY,OBSERVATION_ONLY,STATIC_RULE_SUMMARY_READY,ET/JST,default_whole_share,IBKR_cash_account;settled_cash;T+1,NYSE/NASDAQ/ARCA,static_universe_adapter_skeleton_only,true,true,true,false,false,false,false,false,false,false,false,false,false,false,true,true,true,multi_market_adapter_skeleton_static_only;enabled_for_trading=false;real_market_data_request_allowed=false;contract_qualification_allowed=false;account_read_allowed=false;position_read_allowed=false;historical_data_request_allowed=false;telegram_real_send_allowed=false;no_buy_sell_points;observation_only=true;static_multi_market_symbol_universe_only;no_ibkr_contract_qualification;no_real_market_data;no_account_or_position_read;no_historical_data_request;no_telegram_real_send;US rule: ET/JST;IBKR_cash_account;settled_cash;default_whole_share;T+1
2026-05-25T09:35:42+00:00,US,SPY,ADAPTER_SKELETON_STATIC_READY,OBSERVATION_ONLY,STATIC_RULE_SUMMARY_READY,ET/JST,default_whole_share,IBKR_cash_account;settled_cash;T+1,NYSE/NASDAQ/ARCA,static_universe_adapter_skeleton_only,true,true,true,false,false,false,false,false,false,false,false,false,false,false,true,true,true,multi_market_adapter_skeleton_static_only;enabled_for_trading=false;real_market_data_request_allowed=false;contract_qualification_allowed=false;account_read_allowed=false;position_read_allowed=false;historical_data_request_allowed=false;telegram_real_send_allowed=false;no_buy_sell_points;observation_only=true;static_multi_market_symbol_universe_only;no_ibkr_contract_qualification;no_real_market_data;no_account_or_position_read;no_historical_data_request;no_telegram_real_send;US rule: ET/JST;IBKR_cash_account;settled_cash;default_whole_share;T+1
2026-05-25T09:35:42+00:00,CN,518880.SH,ADAPTER_SKELETON_STATIC_READY,OBSERVATION_ONLY,STATIC_RULE_SUMMARY_READY,CST,ordinary_stock_100_share_integer_multiple,A_share_common_stock_and_stock_etf_T+1,SSE/SZSE,static_universe_adapter_skeleton_only,unknown,true,true,false,false,false,false,false,false,false,false,false,false,false,true,true,true,multi_market_adapter_skeleton_static_only;enabled_for_trading=false;real_market_data_request_allowed=false;contract_qualification_allowed=false;account_read_allowed=false;position_read_allowed=false;historical_data_request_allowed=false;telegram_real_send_allowed=false;no_buy_sell_points;observation_only=true;static_multi_market_symbol_universe_only;no_ibkr_contract_qualification;no_real_market_data;no_account_or_position_read;no_historical_data_request;no_telegram_real_send;CN rule: CST;ordinary_stock_100_share_integer_multiple;A_share_common_stock_and_stock_etf_T+1;518880.SH_ibkr_availability_not_assumed_local_market_symbol_only
2026-05-25T09:35:42+00:00,CN,600519.SH,ADAPTER_SKELETON_STATIC_READY,OBSERVATION_ONLY,STATIC_RULE_SUMMARY_READY,CST,ordinary_stock_100_share_integer_multiple,A_share_common_stock_and_stock_etf_T+1,SSE/SZSE,static_universe_adapter_skeleton_only,unknown,true,true,false,false,false,false,false,false,false,false,false,false,false,true,true,true,multi_market_adapter_skeleton_static_only;enabled_for_trading=false;real_market_data_request_allowed=false;contract_qualification_allowed=false;account_read_allowed=false;position_read_allowed=false;historical_data_request_allowed=false;telegram_real_send_allowed=false;no_buy_sell_points;observation_only=true;static_multi_market_symbol_universe_only;no_ibkr_contract_qualification;no_real_market_data;no_account_or_position_read;no_historical_data_request;no_telegram_real_send;CN rule: CST;ordinary_stock_100_share_integer_multiple;A_share_common_stock_and_stock_etf_T+1
2026-05-25T09:35:42+00:00,CN,600276.SH,ADAPTER_SKELETON_STATIC_READY,OBSERVATION_ONLY,STATIC_RULE_SUMMARY_READY,CST,ordinary_stock_100_share_integer_multiple,A_share_common_stock_and_stock_etf_T+1,SSE/SZSE,static_universe_adapter_skeleton_only,unknown,true,true,false,false,false,false,false,false,false,false,false,false,false,true,true,true,multi_market_adapter_skeleton_static_only;enabled_for_trading=false;real_market_data_request_allowed=false;contract_qualification_allowed=false;account_read_allowed=false;position_read_allowed=false;historical_data_request_allowed=false;telegram_real_send_allowed=false;no_buy_sell_points;observation_only=true;static_multi_market_symbol_universe_only;no_ibkr_contract_qualification;no_real_market_data;no_account_or_position_read;no_historical_data_request;no_telegram_real_send;CN rule: CST;ordinary_stock_100_share_integer_multiple;A_share_common_stock_and_stock_etf_T+1
2026-05-25T09:35:42+00:00,CN,601138.SH,ADAPTER_SKELETON_STATIC_READY,OBSERVATION_ONLY,STATIC_RULE_SUMMARY_READY,CST,ordinary_stock_100_share_integer_multiple,A_share_common_stock_and_stock_etf_T+1,SSE/SZSE,static_universe_adapter_skeleton_only,unknown,true,true,false,false,false,false,false,false,false,false,false,false,false,true,true,true,multi_market_adapter_skeleton_static_only;enabled_for_trading=false;real_market_data_request_allowed=false;contract_qualification_allowed=false;account_read_allowed=false;position_read_allowed=false;historical_data_request_allowed=false;telegram_real_send_allowed=false;no_buy_sell_points;observation_only=true;static_multi_market_symbol_universe_only;no_ibkr_contract_qualification;no_real_market_data;no_account_or_position_read;no_historical_data_request;no_telegram_real_send;CN rule: CST;ordinary_stock_100_share_integer_multiple;A_share_common_stock_and_stock_etf_T+1
2026-05-25T09:35:42+00:00,CN,002130.SZ,ADAPTER_SKELETON_STATIC_READY,OBSERVATION_ONLY,STATIC_RULE_SUMMARY_READY,CST,ordinary_stock_100_share_integer_multiple,A_share_common_stock_and_stock_etf_T+1,SSE/SZSE,static_universe_adapter_skeleton_only,unknown,true,true,false,false,false,false,false,false,false,false,false,false,false,true,true,true,multi_market_adapter_skeleton_static_only;enabled_for_trading=false;real_market_data_request_allowed=false;contract_qualification_allowed=false;account_read_allowed=false;position_read_allowed=false;historical_data_request_allowed=false;telegram_real_send_allowed=false;no_buy_sell_points;observation_only=true;static_multi_market_symbol_universe_only;no_ibkr_contract_qualification;no_real_market_data;no_account_or_position_read;no_historical_data_request;no_telegram_real_send;CN rule: CST;ordinary_stock_100_share_integer_multiple;A_share_common_stock_and_stock_etf_T+1
2026-05-25T09:35:42+00:00,CN,510300.SH,ADAPTER_SKELETON_STATIC_READY,OBSERVATION_ONLY,STATIC_RULE_SUMMARY_READY,CST,ordinary_stock_100_share_integer_multiple,A_share_common_stock_and_stock_etf_T+1,SSE/SZSE,static_universe_adapter_skeleton_only,unknown,true,true,false,false,false,false,false,false,false,false,false,false,false,true,true,true,multi_market_adapter_skeleton_static_only;enabled_for_trading=false;real_market_data_request_allowed=false;contract_qualification_allowed=false;account_read_allowed=false;position_read_allowed=false;historical_data_request_allowed=false;telegram_real_send_allowed=false;no_buy_sell_points;observation_only=true;static_multi_market_symbol_universe_only;no_ibkr_contract_qualification;no_real_market_data;no_account_or_position_read;no_historical_data_request;no_telegram_real_send;CN rule: CST;ordinary_stock_100_share_integer_multiple;A_share_common_stock_and_stock_etf_T+1
